#separator:tab
#html:true
#tags column:4
#deck column:5
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">是 (shì) — verbe copule</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>是 = être. Négation : 不是. Question : 是…吗 ? ou A是不是B ?<br><br><b>Exemples :</b><br>• 我是法国人。<br><small><span class=""t3"">wǒ</span> <span class=""t4"">shì</span> <span class=""t3"">fǎ</span><span class=""t2"">guó</span><span class=""t2"">rén</span>。</small><br><i>Je suis français(e).</i><br><br>• 她不是老师，是医生。<br><small><span class=""t1"">tā</span> <span class=""t2"">bú</span><span class=""t4"">shì</span> <span class=""t3"">lǎo</span><span class=""t1"">shī</span>， <span class=""t4"">shì</span> <span class=""t1"">yī</span><span class=""t1"">shēng</span>。</small><br><i>Elle n'est pas professeure, elle est médecin.</i><br><br>• 你是学生吗？<br><small><span class=""t3"">nǐ</span> <span class=""t4"">shì</span> <span class=""t2"">xué</span><span class=""t0"">sheng</span> <span class=""t0"">ma</span>？</small><br><i>Es-tu étudiant(e) ?</i><br><br></div>"		HSK::1 grammaire deck_v2	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">有 (yǒu) — avoir / il y a</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>有 = avoir (possession) ou il y a (existence). Négation : 没有 (jamais 不有).<br><br><b>Exemples :</b><br>• 我有一个姐姐。<br><small><span class=""t3"">wǒ</span> <span class=""t3"">yǒu</span> <span class=""t2"">yí</span> <span class=""t4"">gè</span> <span class=""t3"">jiě</span><span class=""t0"">jie</span>。</small><br><i>J'ai une grande sœur.</i><br><br>• 这里没有厕所。<br><small><span class=""t4"">zhè</span><span class=""t3"">lǐ</span> <span class=""t2"">méi</span><span class=""t3"">yǒu</span> <span class=""t4"">cè</span><span class=""t3"">suǒ</span>。</small><br><i>Il n'y a pas de toilettes ici.</i><br><br>• 桌子上有一本书。<br><small><span class=""t1"">zhuō</span><span class=""t0"">zi</span> <span class=""t4"">shàng</span> <span class=""t3"">yǒu</span> <span class=""t4"">yì</span> <span class=""t3"">běn</span><span class=""t1"">shū</span>。</small><br><i>Il y a un livre sur la table.</i><br><br></div>"		HSK::1 grammaire deck_v2	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">很 + adjectif (prédicat)</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>很 neutralise l'implication comparative d'un adjectif prédicat. Sans 很, l'adjectif implique une comparaison. À l'écrit, 很 peut être omis dans les structures comparatives explicites.<br><br><b>Exemples :</b><br>• 她很漂亮。<br><small><span class=""t1"">tā</span> <span class=""t3"">hěn</span> <span class=""t4"">piào</span><span class=""t4"">liàng</span>。</small><br><i>Elle est belle.</i><br><br>• 今天很冷。<br><small><span class=""t1"">jīn</span><span class=""t1"">tiān</span> <span class=""t3"">hěn</span> <span class=""t3"">lěng</span>。</small><br><i>Il fait froid aujourd'hui.</i><br><br>• 这道菜很辣。<br><small><span class=""t4"">zhè</span> <span class=""t4"">dào</span> <span class=""t4"">cài</span> <span class=""t3"">hěn</span> <span class=""t4"">là</span>。</small><br><i>Ce plat est épicé.</i><br><br></div>"		HSK::1 grammaire deck_v2	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">也 (yě) — aussi / également</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>也 se place après le sujet et avant le verbe. Ne jamais mettre 也 en fin de phrase.<br><br><b>Exemples :</b><br>• 我也喜欢吃饺子。<br><small><span class=""t3"">wǒ</span> <span class=""t3"">yě</span> <span class=""t3"">xǐ</span><span class=""t0"">huan</span> <span class=""t1"">chī</span> <span class=""t3"">jiǎo</span><span class=""t0"">zi</span>。</small><br><i>Moi aussi j'aime manger des raviolis.</i><br><br>• 她也不知道。<br><small><span class=""t1"">tā</span> <span class=""t3"">yě</span> <span class=""t4"">bù</span> <span class=""t1"">zhī</span><span class=""t0"">dao</span>。</small><br><i>Elle non plus ne sait pas.</i><br><br>• 他也来了。<br><small><span class=""t1"">tā</span> <span class=""t3"">yě</span> <span class=""t2"">lái</span> <span class=""t0"">le</span>。</small><br><i>Lui aussi est venu.</i><br><br></div>"		HSK::1 grammaire deck_v2	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">都 (dōu) — tous / tout</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>都 se place avant le verbe et après le sujet pluriel. Il résume ce qui précède.<br><br><b>Exemples :</b><br>• 我们都是学生。<br><small><span class=""t3"">wǒ</span><span class=""t0"">men</span> <span class=""t1"">dōu</span> <span class=""t4"">shì</span> <span class=""t2"">xué</span><span class=""t0"">sheng</span>。</small><br><i>Nous sommes tous étudiants.</i><br><br>• 他什么都吃。<br><small><span class=""t1"">tā</span> <span class=""t2"">shén</span><span class=""t0"">me</span> <span class=""t1"">dōu</span> <span class=""t1"">chī</span>。</small><br><i>Il mange tout.</i><br><br>• 大家都来了。<br><small><span class=""t4"">dà</span><span class=""t1"">jiā</span> <span class=""t1"">dōu</span> <span class=""t2"">lái</span> <span class=""t0"">le</span>。</small><br><i>Tout le monde est venu.</i><br><br></div>"		HSK::1 grammaire deck_v2	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">在 (zài) — être à / se trouver à</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>在 + lieu = se trouver à. En début de phrase, 在 est préposition de lieu. Avant le verbe, il indique où l'action se passe.<br><br><b>Exemples :</b><br>• 他在家里。<br><small><span class=""t1"">tā</span> <span class=""t4"">zài</span> <span class=""t1"">jiā</span><span class=""t3"">lǐ</span>。</small><br><i>Il est à la maison.</i><br><br>• 她在图书馆学习。<br><small><span class=""t1"">tā</span> <span class=""t4"">zài</span> <span class=""t2"">tú</span><span class=""t1"">shū</span><span class=""t3"">guǎn</span> <span class=""t2"">xué</span><span class=""t2"">xí</span>。</small><br><i>Elle étudie à la bibliothèque.</i><br><br>• 猫在桌子下面。<br><small><span class=""t1"">māo</span> <span class=""t4"">zài</span> <span class=""t1"">zhuō</span><span class=""t0"">zi</span> <span class=""t4"">xià</span><span class=""t4"">miàn</span>。</small><br><i>Le chat est sous la table.</i><br><br></div>"		HSK::1 grammaire deck_v2	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">的 (de) — possession et déterminant du nom</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Déterminant + 的 + nom : le déterminant (possesseur, adjectif, proposition) se place toujours <b>avant</b> le nom. Avec un proche ou une institution, 的 tombe souvent : 我妈妈, 我们学校.<br><br><b>Exemples :</b><br>• 这是我的书。<br><small><span class=""t4"">zhè</span> <span class=""t4"">shì</span> <span class=""t3"">wǒ</span> <span class=""t0"">de</span> <span class=""t1"">shū</span>。</small><br><i>C'est mon livre.</i><br><br>• 她是我妈妈。<br><small><span class=""t1"">tā</span> <span class=""t4"">shì</span> <span class=""t3"">wǒ</span> <span class=""t1"">mā</span><span class=""t0"">ma</span>。</small><br><i>C'est ma mère. (proche : pas de 的)</i><br><br>• 我喜欢他买的那本书。<br><small><span class=""t3"">wǒ</span> <span class=""t3"">xǐ</span><span class=""t0"">huan</span> <span class=""t1"">tā</span> <span class=""t3"">mǎi</span> <span class=""t0"">de</span> <span class=""t4"">nà</span><span class=""t3"">běn</span><span class=""t1"">shū</span>。</small><br><i>J'aime le livre qu'il a acheté.</i><br><br></div>"		HSK::1 grammaire deck_v2 ajout_2026	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">这 / 那 + classificateur + nom</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Démonstratif (ou nombre) + <b>classificateur</b> + nom. Un nom ne suit jamais directement un nombre. 个 est le classificateur général ; 本 pour les livres, 件 pour les vêtements, 只 (zhī) pour les animaux.<br><br><b>Exemples :</b><br>• 这个人是我的老师。<br><small><span class=""t4"">zhè</span><span class=""t4"">gè</span> <span class=""t2"">rén</span> <span class=""t4"">shì</span> <span class=""t3"">wǒ</span> <span class=""t0"">de</span> <span class=""t3"">lǎo</span><span class=""t1"">shī</span>。</small><br><i>Cette personne est mon professeur.</i><br><br>• 那本书很贵。<br><small><span class=""t4"">nà</span><span class=""t3"">běn</span><span class=""t1"">shū</span> <span class=""t3"">hěn</span> <span class=""t4"">guì</span>。</small><br><i>Ce livre-là est très cher.</i><br><br>• 我有两只猫。<br><small><span class=""t3"">wǒ</span> <span class=""t3"">yǒu</span> <span class=""t3"">liǎng</span><span class=""t1"">zhī</span> <span class=""t1"">māo</span>。</small><br><i>J'ai deux chats.</i><br><br></div>"		HSK::1 grammaire deck_v2 ajout_2026	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">几 / 多少 — combien</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>几 + classificateur + nom : petit nombre attendu (moins de dix). 多少 (+ nom) : nombre quelconque, classificateur facultatif. Le mot interrogatif reste à la place de la réponse.<br><br><b>Exemples :</b><br>• 你家有几口人？<br><small><span class=""t3"">nǐ</span><span class=""t1"">jiā</span> <span class=""t3"">yǒu</span> <span class=""t3"">jǐ</span><span class=""t3"">kǒu</span> <span class=""t2"">rén</span>？</small><br><i>Combien êtes-vous dans ta famille ?</i><br><br>• 你们班有多少学生？<br><small><span class=""t3"">nǐ</span><span class=""t0"">men</span> <span class=""t1"">bān</span><span class=""t3"">yǒu</span> <span class=""t1"">duō</span><span class=""t0"">shao</span> <span class=""t2"">xué</span><span class=""t0"">sheng</span>？</small><br><i>Combien d'étudiants y a-t-il dans votre classe ?</i><br><br>• 这个多少钱？<br><small><span class=""t4"">zhè</span><span class=""t4"">gè</span> <span class=""t1"">duō</span><span class=""t0"">shao</span> <span class=""t2"">qián</span>？</small><br><i>Combien ça coûte ?</i><br><br></div>"		HSK::1 grammaire deck_v2 ajout_2026	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">什么 / 谁 / 哪儿 / 怎么 — les mots interrogatifs restent en place</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>En chinois on ne déplace pas le mot interrogatif : il occupe la place de la réponse, et on n'ajoute pas 吗.<br><br><b>Exemples :</b><br>• 你叫什么名字？<br><small><span class=""t3"">nǐ</span> <span class=""t4"">jiào</span> <span class=""t2"">shén</span><span class=""t0"">me</span> <span class=""t2"">míng</span><span class=""t0"">zi</span>？</small><br><i>Comment t'appelles-tu ?</i><br><br>• 他是谁？<br><small><span class=""t1"">tā</span> <span class=""t4"">shì</span> <span class=""t2"">shuí</span>？</small><br><i>Qui est-ce ?</i><br><br>• 你去哪儿？<br><small><span class=""t3"">nǐ</span> <span class=""t4"">qù</span> <span class=""t3"">nǎ</span><span class=""t0"">r</span>？</small><br><i>Où vas-tu ?</i><br><br>• 这个字怎么写？<br><small><span class=""t4"">zhè</span><span class=""t4"">gè</span> <span class=""t4"">zì</span> <span class=""t3"">zěn</span><span class=""t0"">me</span> <span class=""t3"">xiě</span>？</small><br><i>Comment s'écrit ce caractère ?</i><br><br></div>"		HSK::1 grammaire deck_v2 ajout_2026	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">想 / 要 — avoir envie de, vouloir</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>想 + V : avoir envie de (souhait). 要 + V : vouloir, avoir décidé de (plus ferme) ; 要 + nom : vouloir quelque chose. Négation du souhait : 不想.<br><br><b>Exemples :</b><br>• 我想喝茶。<br><small><span class=""t3"">wǒ</span> <span class=""t3"">xiǎng</span> <span class=""t1"">hē</span><span class=""t2"">chá</span>。</small><br><i>J'ai envie de boire du thé.</i><br><br>• 我要去中国学习。<br><small><span class=""t3"">wǒ</span><span class=""t4"">yào</span> <span class=""t4"">qù</span> <span class=""t1"">zhōng</span><span class=""t2"">guó</span> <span class=""t2"">xué</span><span class=""t2"">xí</span>。</small><br><i>Je vais (je veux) aller étudier en Chine.</i><br><br>• 我不想去。<br><small><span class=""t3"">wǒ</span> <span class=""t4"">bù</span><span class=""t3"">xiǎng</span> <span class=""t4"">qù</span>。</small><br><i>Je n'ai pas envie d'y aller.</i><br><br></div>"		HSK::1 grammaire deck_v2 ajout_2026	Chinois::Grammaire::1 · HSK 1
